RegExTimes AutomataTimes FlexTimes
536800 816000 24400
613000 842800 31300
639800 864300 38900
658500 879200 44100
712500 908500 57000
734100 925500 63300
756100 944700 69200
777600 961500 75400
806100 983200 83000
826400 998800 87500
847700 1016000 92800
866300 1028800 98100
884500 1043300 101400
905500 1059700 107700
931000 1080400 114200
954800 1096500 119500
973100 1108800 123200
1024900 1128300 129300
1056800 1149300 136400
1079400 1171100 142900
1101000 1190200 153000
1125200 1208100 160400
1157500 1223000 164200
1216900 1243000 170600
1247300 1256500 174800
1270100 1271000 179000
1292200 1284300 183200
1316400 1297600 187800
1342000 1334500 194400
1363900 1347500 198200
1382700 1362200 202400
1417600 1376500 206900
1589500 1396600 214300
1628200 1408900 217900
1655100 1427300 223300
1685200 1440300 229100
1715700 1503000 234800
1737300 1519400 239800
1768500 1536000 247700
1802900 1550800 254300
1840900 1565400 259900
1869600 1577200 265800
1894400 1590800 271600
1929600 1611500 281200
1952600 1625000 286600
1974700 1643300 293700
1993700 1653800 297900
2040400 1671100 305800
2062200 1681900 311100
2086400 1696900 317700
2115300 1716600 324000
2140200 1731700 329300
2164200 1753200 333800
2184900 1770300 338400
2202200 1782100 341300
2351500 1795300 346200
2469800 1807600 349300
2506900 1824100 355400
2532600 1838100 367800
2554300 1849000 376900
2579900 1894900 381500
2679700 1906300 383500
2701700 1916900 386000
2726300 1930400 390500
2746400 1942600 393700
2770900 1958700 397000
2792500 1969900 399700
2816700 1984200 403700
2842600 2000500 408400
2867800 2013600 411600
2894500 2026200 414900
2919200 2041600 418600
2965200 2071800 425400
2987000 2086700 428200
3019800 2108200 431600
3049300 2124300 434900
3084100 2147900 440400
3105200 2159800 443200
3126500 2171700 445600
3153800 2190600 448600
3208900 2222800 454000
3235300 2252000 457900
3256900 2265900 462800
3277300 2281200 465400
3303200 2307300 469200
3336600 2327100 473700
3360800 2344600 477500
3392100 2359300 480100
3408000 2371900 483000
3429900 2386200 486700
3444200 2397400 489900
3461200 2412600 493300
3478400 2424200 496700
3499500 2438100 501500
3516100 2453000 504800
3530000 2468500 507600
3544100 2484100 510500
3560000 2496700 513200
3577800 2509000 515700
3593600 2522300 518400
3607500 2534900 520500
3625700 2551500 524500
3641800 2567400 527600
3657700 2582100 530100
3674400 2603000 534400
3690600 2627500 538300
3704600 2670100 541700
3719900 2684200 544700
3745100 2706500 548900
3773600 2724700 552900
3800100 2740800 555800
3823900 2755300 559500
3846900 2768000 562000
3870100 2780700 564500
3891100 2794000 567000
3912400 2807400 570100
3934800 2822100 573400
3951300 2834800 575700
3965100 2846900 578900
3978900 2858900 580800
3992700 2870200 583300
4013300 2888600 585700
4033600 2908800 589500
4054200 2928800 593500
4068700 2941000 596100
4082700 2953900 599000
4112100 2993700 608500
4125700 3014900 611300
4144900 3039200 615600
4161300 3096000 621200
4177800 3113000 624800
4191500 3124900 627700
4208300 3139500 631300
4221900 3151900 634500
4241500 3166000 637700
4257900 3187000 641300
4274900 3208600 644900
4291400 3226200 647300
4305400 3241300 649900
4319000 3256300 652600
4332600 3271300 655600
4349700 3288900 658900
4363800 3304200 661800
4380900 3327700 665800
4401200 3360300 670600
4416800 3376800 673200
4432400 3401500 677300
4447000 3416600 679900
4463400 3436300 682900
4477500 3451100 686300
4493500 3472100 689600
4507300 3486900 692500
4522500 3502000 694500
4552100 3524800 698700
4594600 3548800 702600
4630600 3566800 706300
4645800 3578700 709100
4659700 3591200 711100
4677000 3607600 714700
4692300 3619700 717000
4709100 3651700 721700
4725400 3673600 725700
4750800 3710000 731400
4764700 3725700 734000
4779300 3742600 736500
4802700 3776700 742400
4818900 3801300 746500
4832800 3815100 749400
4846600 3829400 751900
4862300 3845500 755200
4876300 3861100 760700
4891800 3876400 766100
4905500 3890800 771300
4920700 3905000 777100
4936900 3923700 782700
4956100 4011600 791200
4972100 4028000 796100
4986100 4040200 800300
5000000 4053800 804300
5026000 4093100 816500
5042100 4114100 821700
5055900 4132800 827300
5069600 4151100 831000
5086300 4171400 835300
5100300 4184000 837200
5118000 4201300 841500
5132200 4220600 843700
5145700 4237300 846700
5162400 4256700 850800
5179100 4275900 854300
5193000 4289900 857400
5207300 4305200 860200
5224000 4325300 863300
5238000 4341000 866200
5251900 4356600 868500
5265700 4371400 871000
5279500 4391600 873300
5305400 4435800 880700
5321900 4462900 885300
5336400 4477900 887900
5365300 4509400 893900
5386800 4533100 897900
5403100 4552700 901900
5421300 4568600 905700
5455000 4606400 913600
5475600 4628700 918000
5490700 4642900 920300
5510800 4655500 922700
5526000 4669200 925100
5548000 4690600 928900
5565300 4708000 932500
5580200 4719900 935300
5597700 4736800 938900
5622600 4762900 943700
5639800 4782800 947400
5656200 4796500 950400
5694200 4814500 953800
5729400 4836600 958300
5751800 4872900 961300
5772100 4888500 963500
5797000 4909900 967000
5821600 4929700 970900
5847100 4946100 974100
5868600 4960500 976400
5889000 4974900 979200
5909000 4988100 981800
5934700 5004500 984800
5955300 5017200 987100
5979400 5036000 990900
6005400 5056000 994600
6027700 5069200 997300
6056100 5085500 1000800
6078100 5099100 1002700
6099200 5113400 1005500
6124400 5131900 1008200
6157800 5155700 1011800
6182900 5182200 1016200
6209200 5201800 1019300
6235500 5225100 1023000
6263400 5242200 1027100
6287900 5254600 1029500
6309800 5266800 1031700
6335400 5284200 1035300
6377300 5309300 1039400
6403900 5345600 1041400
6425600 5364500 1044200
6453200 5379600 1046900
6480100 5399000 1050500
6504900 5416700 1055300
6530000 5439300 1058300
6550100 5455900 1060700
6575000 5474600 1064100
6595700 5489600 1066500
6616700 5504200 1068700
6640900 5521500 1072900
6662500 5535500 1075500
6691700 5557600 1079700
6716700 5577500 1083000
6738100 5592400 1085800
6759700 5606500 1088500
6784400 5621200 1091700
6805800 5636200 1094200
6829800 5654500 1097700
6854000 5671900 1101200
6874900 5687500 1103400
6896400 5701100 1106200
6920600 5716400 1108900
6944100 5737600 1111900
6964800 5752100 1114500
6985600 5771800 1117100
7009700 5802600 1121000
7038700 5823900 1125000
7062700 5843400 1127000
7083200 5855100 1129200
7104900 5867000 1132200
7129400 5880700 1135100
7150500 5891400 1138300
7177400 5908100 1143400
7199800 5918200 1145700
7221700 5928300 1148300
7247800 5942300 1151800
7270300 5955700 1154900
7292500 5969700 1157300
7314300 5982600 1159900
7335100 5992900 1162500
7359200 6005300 1166200
7384100 6018800 1169700
7413500 6030000 1172700
7448000 6049600 1177500
7471700 6059600 1180300
7492300 6069800 1183000
7512000 6080200 1185200
7536800 6093900 1188800
7568700 6107000 1192700
7590500 6116700 1195600
7614800 6126300 1198700
7634800 6135400 1201800
7661600 6147500 1205200
7693400 6162300 1208800
7714400 6172000 1212000
7735200 6181100 1214200
7759400 6193500 1217400
7779400 6202800 1219900
7804100 6216500 1224000
7824700 6225900 1227300
7848200 6239400 1231800
7873300 6251500 1235300
7895600 6265200 1239500
7920100 6279200 1243200
7943600 6289500 1245600
7963600 6299700 1248100
7995200 6315300 1252300
8023900 6328300 1256000
8045100 6338600 1259100
8065300 6348800 1261600
8089200 6361500 1264700
8117800 6375700 1268000
8139400 6386500 1270600
8164200 6402600 1275300
8188100 6417000 1279100
8209000 6428100 1281700
8233000 6441200 1284700
8257900 6456100 1288800
8282200 6470000 1292100
8308700 6484400 1296100
8332300 6495400 1298800
8409500 6506500 1301400
8433000 6517600 1304600
8459100 6534000 1309800
8482800 6545300 1311800
8506400 6559000 1314700
8532000 6571500 1317600
8553600 6582200 1320000
8587800 6595500 1323800
8609600 6606700 1327100
8631700 6617800 1329200
8657500 6631200 1332500
8683100 6643900 1335400
8704900 6658600 1381800
8724700 6669900 1387400
8744700 6680600 1390700
8765900 6691900 1393600
8786500 6702400 1396800
8810500 6717200 1401500
8831400 6727800 1404100
8852100 6737700 1407300
8873100 6748200 1409900
8897300 6759300 1412000
8917900 6770400 1415700
8938500 6781100 1418800
8960500 6791600 1421300
8985600 6805000 1431300
9008400 6816100 1464400
9028900 6826100 1467500
9052800 6846300 1471400
9077600 6860800 1475100
9128700 6873700 1477600
9162600 6890600 1480100
9233300 6931900 1488000
9250200 6948400 1490500
9268000 6964200 1494600
9284500 6979400 1497900
9300800 7001100 1501900
9325700 7021100 1506900
9340400 7031700 1509400
9365900 7054000 1511700
9384000 7072700 1514300
9398100 7097900 1516600
9415100 7119300 1518900
9444900 7140800 1523800
9460400 7154400 1526400
9474200 7167100 1529700
9488000 7183400 1532000
9503000 7201100 1535200
9516900 7214700 1538200
9542100 7240900 1541800
9558500 7267600 1545800
9574500 7287400 1549000
9595100 7309700 1552700
9612400 7325500 1556300
9626300 7338300 1559100
9654600 7371300 1566700
9668900 7386800 1569600
9685500 7404800 1573500
9701600 7423500 1576000
9716700 7438200 1578500
9732800 7455100 1582100
9749600 7472900 1585700
9767100 7488700 1589600
9781600 7501000 1592300
9797900 7521200 1596300
9813600 7534900 1599500
9835000 7560700 1604000
9851900 7580500 1607000
9873300 7602700 1610900
9889800 7620600 1613400
9906400 7644900 1617300
9925900 7663400 1620700
9943100 7677900 1624000
9957400 7690800 1625900
9973700 7707200 1629300
9989400 7726400 1632300
10005600 7751400 1637200
10021800 7770700 1640300
10035900 7784100 1643400
10050000 7796600 1646100
10064000 7810100 1648900
10078000 7824300 1651100
10092200 7839200 1654600
10115200 7871200 1660100
10128800 7884100 1662400
10144900 7896100 1664800
10158900 7907900 1667300
10177800 7924100 1670800
10194500 7939900 1674400
10210800 7954600 1677600
10225500 7965800 1680400
